,original,random,pos
337,remain,refurnish,v
338,explain,foxhunt,v
339,site,chaffweed,n
340,hit,level,v
341,pull,blacklist,v
342,church,nemophila,n
343,model,inauguration,n
344,perhaps,overhead,r
345,relationship,Whitman,n
346,fine,kindred,a
347,movie,rapid,n
348,field,Chinookan,n
349,raise,roach,v
350,less,biochemically,r
351,player,sunflower,n
352,couple,ultimatum,n
353,record,tail,n
354,especially,retroactively,r
355,difference,Dorian,n
356,light,anticatalyst,n
357,development,bootlegger,n
358,federal,made,a
359,role,skim,n
360,pretty,spirally,r
361,view,presidium,n
362,price,Peridiniidae,n
363,effort,mustard,n
364,nice,paleoanthropological,a
365,quite,spasmodically,r
366,voice,Garbo,n
367,finally,laterally,r
368,department,epidemiology,n
369,either,overwhelmingly,r
370,leader,inevitability,n
371,photo,self-assertion,n
372,wear,formulate,v
373,space,citrate,n
374,project,Fuller,n
375,return,reposit,v
376,position,Homer,n
377,special,standard,a
378,million,workbench,n
379,film,demonstrator,n
380,need,couture,n
381,major,univalent,a
382,type,trailblazer,n
383,town,Liliidae,n
384,article,Oman,n
385,road,rhyolite,n
386,form,deadline,n
387,chance,five-spot,n
388,drug,double-bogey,n
389,economic,improvable,a
390,situation,mumbling,n
391,choose,tend,v
392,practice,determination,n
393,cause,hike,v
394,happy,three-needled,a
395,science,course,n
396,join,put,v
397,teach,subscribe,v
398,early,over,r
399,develop,tauten,v
400,share,extract,v
401,carry,design,v
402,clear,live,a
403,brother,centromere,n
404,matter,organification,n
405,dead,running,a
406,image,Judas,n
407,star,whitlowwort,n
408,cost,inability,n
409,simply,derisively,r
410,post,feminine,n
411,society,millenary,n
412,picture,Mercury,n
413,piece,breechblock,n
414,paper,acanthocyte,n
415,energy,minder,n
416,personal,bionic,a
417,building,tableware,n
418,military,depraved,a
419,open,Afrikaans,a
420,doctor,ringing,n
421,activity,May,n
422,exactly,sky-high,r
423,american,seedbed,n
424,media,grinding,n
425,miss,marcel,v
426,evidence,pickup,n
427,product,manat,n
428,realize,run,v
429,save,align,v
430,arm,cover,n
431,technology,soapiness,n
432,catch,postpone,v
433,comment,heartleaf,n
434,look,Hydrophyllaceae,n
435,term,congregation,n
436,color,submucosa,n
437,cover,cripple,v
438,describe,redecorate,v
439,guess,major,v
440,choice,bed,n
441,source,suggestibility,n
442,mom,multivitamin,n
443,soon,alone,r
444,director,bindweed,n
445,international,capricious,a
446,rule,fly,n
447,campaign,stipulation,n
448,ground,bacteremia,n
449,election,pisiform,n
450,face,qualify,v
451,check,obscure,v
452,page,closer,n
453,fight,uncrate,v
454,test,haymow,n
455,patient,Carya,n
456,produce,point,v
457,certain,waning,a
458,video,marble,n
459,support,chunnel,n
460,throw,bur,v
461,care,zone,v
462,rest,windjammer,n
463,recent,multiracial,a
464,available,ripe,a
465,step,novel,n
466,ready,clean,a
467,opportunity,street,n
468,official,Birmingham,n
469,oil,chrysolite,n
470,call,musketeer,n
471,organization,Brandenburg,n
472,character,lifeguard,n
473,single,bosky,a
474,current,unrestricted,a
475,likely,selfish,a
476,county,blastomycosis,n
477,future,mycology,n
478,dad,sequence,n
479,shoot,faggot,v
480,industry,folderol,n
481,second,overlip,n
482,list,gymnosperm,n
483,general,vanished,a
484,stuff,pyrite,n
485,figure,galactosemia,n
486,attention,hoop,n
487,forget,desorb,v
488,risk,macumba,n
489,focus,decorticate,v
490,short,semiarid,a
491,fire,reproducer,n
492,dog,outfield,n
493,red,anterior,a
494,hair,flexion,n
495,point,distribute,v
496,condition,parable,n
497,wall,pool,n
498,daughter,pachycheilia,n
499,deal,flush,n
500,author,aperture,n
501,truth,Damaliscus,n
502,husband,politics,n
503,period,beryl,n
504,series,ortygan,n
505,order,Norman-French,n
506,officer,Maeandra,n
507,close,radio,a
508,land,wingspread,n
509,note,stamp,v
510,computer,stifler,n
511,thought,Bloomington,n
512,economy,quickstep,n
513,goal,histiocytosis,n
514,bank,combustion,n
515,behavior,cattail,n
516,sound,meter,v
517,deal,quiz,v
518,certainly,startlingly,r
519,nearly,amok,r
520,increase,paganize,v
521,act,groundmass,n
522,north,aerophile,n
523,blood,fusion,n
524,culture,Malabo,n
525,medical,nonruminant,a
526,ok,halfway,r
527,top,canoeist,n
528,difficult,bottom,a
529,close,cheer,v
530,language,Flagstaff,n
531,window,hobnail,n
532,response,interleukin,n
533,population,surgery,n
534,lie,disenchant,v
535,tree,jocoseness,n
536,park,cognate,n
537,worker,Alcyonaria,n
538,draw,rabbit,v
539,plan,lug,v
540,drop,quest,v
541,push,lead,v
542,earth,culverin,n
543,cause,commissar,n
544,private,anaphylactic,a
545,tonight,intermediately,r
546,race,Laguncularia,n
547,letter,sale,n
548,gun,Yevtushenko,n
549,simple,Sardinian,a
550,course,opportunism,n
551,wonder,collar,v
552,involve,capitalize,v
553,hell,down-and-out,n
554,poor,crusty,a
555,answer,oolong,n
556,nature,Sparta,n
557,administration,shipmate,n
558,common,promulgated,a
559,hard,complainingly,r
560,message,dab,n
561,song,pair,n
562,enjoy,temper,v
563,similar,erroneous,a
564,congress,sojourn,n
565,attack,negotiation,n
566,past,pursuing,a
567,hot,incorporeal,a
568,seek,bedaub,v
569,amount,Synapsida,n
570,analysis,decimeter,n
571,store,deoxythymidine,n
572,defense,Frederick,n
573,bill,cementum,n
574,cell,sabicu,n
575,performance,Creek,n
576,hospital,logwood,n
577,bed,eptatretus,n
578,board,wordbook,n
579,protect,grill,v
580,century,Thomson,n
581,summer,torturer,n
582,material,y-axis,n
583,individual,dipole,n
584,recently,symmetrically,r
585,example,parchment,n
586,represent,perfuse,v
587,fill,massage,v
588,state,relive,v
589,place,discriminate,v
590,animal,divulgence,n
591,fail,situate,v
592,factor,Durante,n
593,natural,weather-beaten,a
594,sir,fiddlestick,n
595,agency,keel,n
596,usually,aerially,r
597,significant,consular,a
598,help,interface,n
599,ability,pyxidium,n
600,mile,bialy,n
601,statement,Joplin,n
602,entire,entitled,a
603,democrat,baboon,n
604,floor,boringness,n
605,serious,white-seeded,a
606,career,unsuitability,n
607,dollar,Salmacis,n
608,vote,shepherd,v
609,sex,1790s,n
610,compare,puree,v
611,south,MPEG,n
612,forward,safely,r
613,subject,award,n
614,financial,racist,a
615,identify,break,v
616,beautiful,cathectic,a
617,decade,material,n
618,bit,cathode,n
619,reduce,hook,v
620,sister,sertularian,n
621,quality,day,n
622,quickly,millionfold,r
623,act,power,v
624,press,arbitration,n
625,worry,absolve,v
626,accept,weaponize,v
627,enter,activate,v
628,mention,holystone,v
629,sound,plot,n
630,thus,slangily,r
631,plant,unorthodoxy,n
632,movement,pseudohermaphroditism,n
633,scene,instrumentality,n
634,section,cannon,n
635,treatment,Onondaga,n
636,wish,dust,v
637,benefit,sitting,n
638,interesting,clean,a
639,west,pervert,n
640,candidate,Trachinotus,n
641,approach,plumbing,n
642,determine,close,v
643,resource,cuticle,n
644,claim,shout,v
645,answer,sledge,v
646,prove,ignore,v
647,sort,high-low,n
648,size,Auriparus,n
649,knowledge,fraudulence,n
650,rather,so,r
651,hang,quench,v
652,sport,pachysandra,n
653,tv,Atherinopsis,n
654,loss,Ninkhursag,n
655,argue,gauge,v
656,left,datable,a
657,note,good-temperedness,n
658,meeting,dragonfly,n
659,skill,neostigmine,n
660,card,keratotomy,n
661,feeling,junction,n
662,degree,metallic,n
663,crime,potter,n
664,sign,cipher,n
665,occur,vulcanize,v
666,imagine,pervert,v
667,vote,Gaultheria,n
668,king,leadwort,n
669,box,comedian,n
670,present,wet,v
671,figure,refresh,v
672,foreign,well-branched,a
673,laugh,want,v
674,disease,Pachyrhizus,n
675,lady,crith,n
676,discuss,introvert,v
677,finish,redeem,v
678,design,Phascogale,n
679,concern,pool,n
680,ball,uncommonness,n
681,east,ectasia,n
682,recognize,clean,v
683,apply,consecrate,v
684,prepare,rerun,v
685,network,assimilation,n
686,huge,dreamlike,a
687,success,Orpheus,n
688,district,ripple,n
689,cup,fob,n
690,name,infiltrate,v
691,physical,silver-grey,a
692,growth,lobule,n
693,rise,stoop,v
694,standard,Cordoba,n
695,force,carry,v
696,sign,heel,v
697,fan,warmth,n
698,theory,fender,n
699,staff,hatchback,n
700,hurt,break,v
701,legal,retractile,a
702,september,Quapaw,n
703,set,dovecote,n
704,et,acutely,r
705,strategy,scatophagy,n
706,clearly,immorally,r
707,property,Pelecaniformes,n
708,lay,incarnate,v
709,final,shallow,a
710,authority,shielding,n
711,perfect,abnormal,a
712,method,fare-thee-well,n
713,region,sum,n
714,impact,Google,n
715,indicate,skip-bomb,v
716,safe,gemmiferous,a
717,committee,alkalemia,n
718,supposed,nonpoisonous,a
719,dream,return,n
720,training,cannonball,n
721,shit,naranjilla,n
722,central,on,a
723,option,entrenchment,n
724,particularly,morosely,r
725,completely,yesterday,r
726,opinion,firkin,n
727,main,disposable,a
728,interview,nondisjunction,n
729,exist,hop,v
730,remove,sabotage,v
731,dark,Guyanese,a
732,play,cheesecake,n
733,union,rosette,n
734,professor,innervation,n
735,pressure,exporter,n
736,purpose,side,n
737,stage,Ningirsu,n
738,blue,well-made,a
739,sun,lymantriid,n
740,pain,Marut,n
741,artist,territorialization,n
742,employee,Venus,n
743,avoid,vilify,v
744,account,Kichai,n
745,release,decalcify,v
746,fund,colorcast,n
747,environment,explosion,n
748,treat,skim,v
749,specific,guilty,a
750,version,scapegrace,n
751,shot,ordeal,n
752,hate,adjure,v
753,reality,accountant,n
754,visit,observe,v
755,club,overpayment,n
756,justice,cosmotron,n
757,river,relay,n
758,brain,face,n
759,memory,escape,n
760,rock,crab,n
761,talk,ankylosis,n
762,camera,ametria,n
763,global,Slovenian,a
764,various,curricular,a
765,arrive,uncloak,v
766,notice,stream,v
767,bit,however,r
768,detail,respiration,n
769,challenge,basalt,n
770,argument,obelion,n
771,lot,nohow,r
772,weapon,worthlessness,n
773,best,displeasingly,r
774,station,matchbook,n
775,island,dagger,n
776,absolutely,again,r
777,instead,disastrously,r
778,discussion,blowout,n
779,affect,approve,v
780,design,feather,v
781,anyway,breadthwise,r
782,respond,invaginate,v
783,control,develop,v
784,trouble,neurologist,n
785,conversation,Threskiornithidae,n
786,manage,obfuscate,v
787,close,popishly,r
788,date,Segal,n
789,public,lioness,n
790,army,Shamash,n
791,top,replaceable,a
792,post,disconnect,v
793,charge,aragonite,n
794,seat,iron,n
795,assume,repaint,v
796,writer,kibbutznik,n
797,perform,evert,v
798,credit,Yiddish,n
799,green,nuclear,a
800,marriage,embolism,n
801,operation,thallophyte,n
802,indeed,under,r
803,sleep,lifehack,v
804,necessary,single-bedded,a
805,reveal,hook,v
806,agent,campaigner,n
807,access,nasality,n
808,bar,glauconite,n
809,debate,crape,n
810,leg,quantization,n
811,contain,reintroduce,v
812,beat,ply,v
813,cool,no-hit,a
814,democratic,changeless,a
815,cold,Latvian,a
816,glass,hatchet,n
817,improve,smash,v
818,adult,Toulouse,n
819,trade,nutcracker,n
820,religious,undedicated,a
821,head,cool,v
822,review,self-aggrandizement,n
823,kind,extravagantly,r
824,address,sit,v
825,association,Veronese,n
826,measure,automation,n
827,stock,Eburophyton,n
828,gas,vanguard,n
829,deep,tractable,a
830,lawyer,Olfersia,n
831,production,Carcharodon,n
832,relate,wash,v
833,middle,stillborn,a
834,management,ignorantness,n
835,original,detached,a
836,victim,conversationalist,n
837,cancer,hacienda,n
838,speech,Cortland,n
839,particular,kaleidoscopic,a
840,trial,open,n
841,item,Lyon,n
842,weight,archenteron,n
843,tomorrow,thereinafter,r
844,step,fume,v
845,positive,scraggy,a
846,form,draw,v
847,citizen,photography,n
848,study,handbuild,v
849,trip,systole,n
850,establish,convert,v
851,executive,Shepard,n
852,politics,woolgathering,n
853,stick,retreat,v
854,customer,Lewiston,n
855,manager,Coriandrum,n
856,publish,light,v
857,popular,debilitative,a
858,sing,mandate,v
859,ahead,faddishly,r
860,conference,underproduction,n
861,total,angry,a
862,discover,foal,v
863,fast,irresponsibly,r
864,base,Mississippi,n
865,direction,radiotelephone,n
866,sunday,Cretan,n
867,maintain,foliate,v
868,past,Aertex,n
869,majority,millrace,n
870,peace,Solanum,n
871,dinner,tailpipe,n
872,partner,spit,n
873,user,acid,n
874,fly,piggyback,v
875,bag,one-and-one,n
876,therefore,illegally,r
877,rich,corroded,a
878,individual,forty-five,a
879,tough,automatic,a
880,owner,Vicksburg,n
881,shall,evolve,v
882,voter,Comrade,n
883,tool,Planera,n
884,june,porcupine,n
885,far,moneyed,a
886,may,latchkey,n
887,mountain,Mycoplasmatales,n
888,range,antiflatulent,n
889,coach,revision,n
890,fear,solicitorship,n
891,friday,starvation,n
892,attorney,Cameroon,n
893,expert,microbe,n
894,structure,moleskin,n
895,budget,covalence,n
896,insurance,appearance,n
897,text,simplification,n
898,freedom,Saxony,n
899,crazy,thermal,a
900,reader,Christmas,n
901,style,property,n
902,march,closeout,n
903,machine,parenchyma,n
904,november,Insecta,n
905,generation,skull,n
906,income,lactogen,n
907,born,devitalize,v
908,admit,corset,v
909,sea,parliament,n
910,okay,unowned,a
911,mouth,Sarcoscyphaceae,n
912,test,confess,v
913,web,showman,n
914,shake,spree,v
915,threat,photometrist,n
916,solution,Mandevilla,n
917,shut,burden,v
918,travel,throw,v
919,scientist,redundancy,n
920,hide,vest,v
921,obviously,organically,r
922,refer,deplume,v
923,alone,amazingly,r
924,drink,precess,v
925,investigation,Chlorococcum,n
926,senator,carabiner,n
927,unit,involution,n
928,photograph,otter,n
929,july,mozzarella,n
930,television,Californian,n
931,key,unwebbed,a
932,sexual,beaklike,a
933,radio,dinginess,n
934,prevent,buzz,v
935,modern,brassy,a
936,senate,blockage,n
937,violence,lattice,n
938,touch,malt,v
939,feature,shaker,n
940,audience,alpha,n
941,evening,song,n
942,hall,position,n
943,task,atrophy,n
944,score,oligomenorrhea,n
945,skin,interleaf,n
946,suffer,react,v
947,wide,cadaverous,a
948,spring,maguey,n
949,experience,riposte,v
950,civil,matrilineal,a
951,safety,pocket-handkerchief,n
952,weekend,stinger,n
953,title,situation,n
954,heat,gesture,n
955,normal,harmonious,a
956,hope,sheath,n
957,yard,samara,n
958,finger,vaccinee,n
959,tend,mourn,v
960,mission,nurse-midwife,n
961,eventually,menacingly,r
962,participant,sequence,n
963,hotel,fatherhood,n
964,judge,segregator,n
965,pattern,grappa,n
966,break,line,n
967,institution,Restoration,n
968,faith,forklift,n
969,professional,applicative,a
970,reflect,place-kick,v
971,folk,lap,n
972,surface,Lao-tzu,n
973,fall,gentamicin,n
974,client,usufruct,n
975,edge,tone,n
976,traditional,wasteful,a
977,council,lockage,n
978,device,ape,n
979,firm,plumpness,n
980,environmental,chivalrous,a
981,responsibility,accommodation,n
982,chair,presentation,n
983,internet,pip,n
984,october,Reggane,n
985,funny,dishonorable,a
986,immediately,indecently,r
987,investment,lepidophobia,n
988,ship,ergodicity,n
989,effective,gonadotropic,a
990,previous,six-pointed,a
991,content,censor,n
992,consumer,flyweight,n
993,element,pinche,n
994,nuclear,potty,a
995,spirit,pediment,n
996,directly,dizzily,r
997,afraid,currish,a
998,define,prorate,v
999,handle,sing,v
1000,track,Insessores,n
1001,run,ray,n
1002,wind,witchcraft,n
1003,lack,scrappiness,n
1004,cost,dub,v
1005,announce,evolve,v
1006,journal,extension,n
1007,heavy,sinusoidal,a
1008,ice,affrication,n
1009,collection,six-pack,n
1010,feed,undulate,v
1011,soldier,antidiuretic,n
1012,governor,linin,n
1013,fish,microfiche,n
1014,shoulder,Cocytus,n
1015,cultural,included,a
1016,successful,untheatrical,a
1017,fair,mandibulofacial,a
1018,trust,scramble,v
1019,suddenly,sinusoidally,r
1020,future,coastal,a
1021,interested,untwisted,a
1022,deliver,prevail,v
1023,saturday,lowland,n
1024,editor,Pterospermum,n
1025,fresh,nineteen,a
1026,destroy,cream,v
1027,claim,spread,n
1028,critical,butyraceous,a
1029,agreement,gladiolus,n
1030,powerful,triclinic,a
1031,researcher,cape,n
1032,concept,scab,n
1033,willing,Incan,a
1034,band,sandarac,n
1035,marry,tire,v
1036,promise,sip,v
1037,easily,beautifully,r
1038,restaurant,drunk,n
1039,league,chamber,n
1040,senior,farsighted,a
1041,capital,hop,n
1042,anymore,together,r
1043,april,Hosta,n
1044,potential,disinherited,a
1045,etc,unpalatably,r
1046,quick,neutral,a
1047,magazine,hygrophyte,n
1048,status,cape,n
1049,attend,wish,v
1050,replace,attend,v
1051,hill,basilisk,n
1052,kitchen,vote,n
1053,achieve,snuff,v
1054,screen,teal,n
1055,generally,avowedly,r
1056,mistake,Americanization,n
1057,along,securely,r
1058,strike,anticipate,v
1059,battle,premise,n
1060,spot,colpocele,n
1061,basic,late-ripening,a
1062,corner,pipefitting,n
1063,target,Theodosius,n
1064,driver,tupik,n
1065,beginning,Lambert,n
1066,religion,imperishability,n
1067,crisis,ribose,n
1068,count,crash,v
1069,museum,nonintervention,n
1070,engage,undersign,v
1071,communication,ray,n
1072,murder,pavonia,n
1073,blow,decompose,v
1074,object,Whitney,n
1075,express,cocainize,v
1076,encourage,suction,v
1077,matter,install,v
1078,blog,five-spot,n
1079,smile,fuel,v
1080,return,Pulitzer,n
1081,belief,amboyna,n
1082,block,leak,n
1083,debt,pebibit,n
1084,fire,subscribe,v
1085,labor,amphibia,n
1086,understanding,ghrelin,n
1087,neighborhood,agenda,n
1088,contract,Gelsemium,n
1089,middle,hawala,n
1090,species,Lactarius,n
1091,additional,acid-forming,a
1092,sample,convention,n
1093,involved,nonhairy,a
1094,inside,sensuously,r
1095,mostly,tranquilly,r
1096,path,plague,n
1097,concerned,polymeric,a
1098,apple,dealing,n
1099,conduct,crest,v
1100,god,nursing,n
1101,wonderful,threaded,a
1102,library,spying,n
1103,prison,cuckold,n
1104,hole,parallelogram,n
1105,attempt,affusion,n
1106,complete,retool,v
1107,code,Aizoaceae,n
1108,sales,West-sider,n
1109,gift,tryst,n
1110,refuse,plait,v
1111,increase,Clark,n
1112,garden,Calla,n
1113,introduce,like,v
1114,roll,overhang,v
1115,christian,thin,a
1116,definitely,encouragingly,r
1117,like,hypothermic,a
1118,lake,Nepenthaceae,n
1119,turn,Rilke,n
1120,sure,outwardly,r
1121,earn,claw,v
1122,plane,cuticula,n
1123,vehicle,Hodgkin,n
1124,examine,ruffle,v
1125,application,civet,n
1126,thousand,Leo,n
1127,coffee,Caesalpiniaceae,n
1128,gain,deluge,v
1129,result,ring,v
1130,file,Bari,n
1131,reform,imide,n
1132,ignore,act,v
1133,welcome,relate,v
1134,gold,bulimia,n
1135,jump,attorn,v
1136,planet,sow,n
1137,location,tee,n
1138,bird,hemothorax,n
1139,amazing,cragged,a
1140,principle,nationalism,n
1141,promote,culminate,v
1142,search,Galileo,n
1143,alive,anonymous,a
1144,possibility,medulla,n
1145,sky,Dorian,n
1146,otherwise,suavely,r
1147,remind,express,v
1148,healthy,uninstructive,a
1149,fit,box,v
1150,horse,skirmisher,n
1151,advantage,Mohammed,n
1152,commercial,continual,a
1153,steal,displease,v
1154,basis,donna,n
1155,context,hairpin,n
1156,highly,passively,r
1157,christmas,dhole,n
1158,strength,comfrey,n
1159,move,handiness,n
1160,monday,redpoll,n
1161,mean,dredger,n
1162,alone,Texan,a
1163,beach,dossier,n
1164,survey,abrachia,n
1165,writing,giraffe,n
1166,master,clomipramine,n
1167,cry,neutralize,v
1168,scale,radio-phonograph,n
1169,resident,Hinault,n
1170,football,Prunella,n
1171,sweet,overvaliant,a
1172,failure,fondue,n
1173,reporter,pullulation,n
1174,commit,cripple,v
1175,fight,stalker,n
1176,one,endocrinology,n
1177,associate,sneak,v
1178,vision,deoxyguanosine,n
1179,function,yurt,n
1180,truly,right,r
1181,sick,incalculable,a
1182,average,stall-fed,a
1183,human,dermatologist,n
1184,stupid,open,a
1185,chinese,abundant,a
1186,connection,crore,n
1187,camp,rat,n
1188,stone,booster,n
1189,hundred,president,n
1190,key,touch,n
1191,truck,fiddlestick,n
1192,afternoon,walk,n
1193,responsible,well-defined,a
1194,secretary,butt,n
1195,apparently,irregularly,r
1196,smart,unqualified,a
1197,southern,large-capitalization,a
1198,totally,surely,r
1199,western,rust-resistant,a
1200,collect,jam,v
1201,conflict,plastron,n
1202,burn,forge,v
1203,learning,imperfection,n
1204,wake,affix,v
1205,contribute,pace,v
1206,ride,fear,v
1207,british,fresh,a
1208,following,choric,a
1209,order,berry,v
1210,share,inositol,n
1211,newspaper,nuance,n
1212,foundation,acanthus,n
1213,variety,decigram,n
1214,perspective,creepiness,n
1215,document,Leontopodium,n
1216,presence,mutterer,n
1217,stare,post,v
